Image Name,Source,D(0),D(1),D(2),Delta01,Delta02,|D(0)|,|D(1)|,|D(2)|,|Delta01|,|Delta02|
r10893508t.png,dalle2,14.2930,12.1862,10.8424,2.1068,3.4506,14.2930,12.1862,10.8424,2.1068,3.4506
r10940798t.png,dalle2,15.2491,13.4201,12.9617,1.8290,2.2874,15.2491,13.4201,12.9617,1.8290,2.2874
r11850456t.png,dalle2,14.8903,13.5369,12.3034,1.3534,2.5869,14.8903,13.5369,12.3034,1.3534,2.5869
r12133015t.png,dalle2,14.8916,14.3401,12.1169,0.5515,2.7747,14.8916,14.3401,12.1169,0.5515,2.7747
r12946364t.png,dalle2,14.6651,11.6673,10.0967,2.9978,4.5685,14.6651,11.6673,10.0967,2.9978,4.5685
r13073518t.png,dalle2,15.6022,13.7481,13.1696,1.8541,2.4326,15.6022,13.7481,13.1696,1.8541,2.4326
r13837601t.png,dalle2,15.7455,12.9456,12.9115,2.8000,2.8341,15.7455,12.9456,12.9115,2.8000,2.8341
r13907965t.png,dalle2,16.0910,13.6647,12.8022,2.4263,3.2888,16.0910,13.6647,12.8022,2.4263,3.2888
r13928401t.png,dalle2,14.2188,12.6248,10.9814,1.5940,3.2374,14.2188,12.6248,10.9814,1.5940,3.2374
r14289905t.png,dalle2,11.7745,11.1011,9.5811,0.6735,2.1935,11.7745,11.1011,9.5811,0.6735,2.1935
r15885978t.png,dalle2,15.6825,14.0067,12.1192,1.6758,3.5633,15.6825,14.0067,12.1192,1.6758,3.5633
r15919202t.png,dalle2,13.3355,12.0314,11.7754,1.3041,1.5601,13.3355,12.0314,11.7754,1.3041,1.5601
r16422663t.png,dalle2,13.9056,12.4543,11.2024,1.4514,2.7032,13.9056,12.4543,11.2024,1.4514,2.7032
r16509308t.png,dalle2,15.6486,12.5370,13.8214,3.1116,1.8271,15.6486,12.5370,13.8214,3.1116,1.8271
r16654024t.png,dalle2,14.0189,11.3756,15.4020,2.6433,-1.3831,14.0189,11.3756,15.4020,2.6433,1.3831
r17217693t.png,dalle2,13.6197,11.2901,11.5674,2.3296,2.0523,13.6197,11.2901,11.5674,2.3296,2.0523
r18791531t.png,dalle2,14.3906,12.5984,10.6909,1.7922,3.6997,14.3906,12.5984,10.6909,1.7922,3.6997
r18798194t.png,dalle2,14.0986,12.3120,11.5096,1.7867,2.5891,14.0986,12.3120,11.5096,1.7867,2.5891
r18990432t.png,dalle2,14.5555,12.7850,11.1450,1.7704,3.4105,14.5555,12.7850,11.1450,1.7704,3.4105
r19183258t.png,dalle2,15.0342,11.8512,11.1179,3.1829,3.9163,15.0342,11.8512,11.1179,3.1829,3.9163
r10893508t.png,dalle3,15.1249,12.3432,11.4664,2.7817,3.6585,15.1249,12.3432,11.4664,2.7817,3.6585
r10940798t.png,dalle3,13.0919,11.0682,10.5080,2.0237,2.5839,13.0919,11.0682,10.5080,2.0237,2.5839
r11850456t.png,dalle3,13.7498,11.2487,10.7715,2.5011,2.9783,13.7498,11.2487,10.7715,2.5011,2.9783
r12133015t.png,dalle3,14.2192,12.4415,10.2523,1.7777,3.9670,14.2192,12.4415,10.2523,1.7777,3.9670
r12946364t.png,dalle3,15.0853,12.3133,10.4280,2.7721,4.6573,15.0853,12.3133,10.4280,2.7721,4.6573
r13073518t.png,dalle3,14.8808,12.7665,11.1398,2.1143,3.7410,14.8808,12.7665,11.1398,2.1143,3.7410
r13837601t.png,dalle3,13.8277,11.1614,9.9717,2.6663,3.8559,13.8277,11.1614,9.9717,2.6663,3.8559
r13907965t.png,dalle3,14.1691,11.3236,10.1779,2.8455,3.9912,14.1691,11.3236,10.1779,2.8455,3.9912
r13928401t.png,dalle3,15.9811,13.2941,11.4025,2.6870,4.5786,15.9811,13.2941,11.4025,2.6870,4.5786
r14289905t.png,dalle3,13.3312,12.0930,10.0733,1.2383,3.2579,13.3312,12.0930,10.0733,1.2383,3.2579
r15885978t.png,dalle3,13.9444,11.5848,10.7974,2.3595,3.1470,13.9444,11.5848,10.7974,2.3595,3.1470
r15919202t.png,dalle3,14.0441,12.0156,10.6586,2.0285,3.3855,14.0441,12.0156,10.6586,2.0285,3.3855
r16422663t.png,dalle3,13.0382,10.8345,9.5098,2.2037,3.5284,13.0382,10.8345,9.5098,2.2037,3.5284
