Image Name,Source,D(0),D(1),D(2),Delta01,Delta02,|D(0)|,|D(1)|,|D(2)|,|Delta01|,|Delta02|
r10893508t.png,dalle2,14.6578,12.8638,14.8110,1.7940,-0.1532,14.6578,12.8638,14.8110,1.7940,0.1532
r10940798t.png,dalle2,17.2474,14.6724,15.8999,2.5750,1.3475,17.2474,14.6724,15.8999,2.5750,1.3475
r11850456t.png,dalle2,14.3250,14.4319,15.8897,-0.1068,-1.5647,14.3250,14.4319,15.8897,0.1068,1.5647
r12133015t.png,dalle2,15.8302,16.7225,16.2505,-0.8923,-0.4203,15.8302,16.7225,16.2505,0.8923,0.4203
r12946364t.png,dalle2,14.4680,13.1460,14.2954,1.3219,0.1725,14.4680,13.1460,14.2954,1.3219,0.1725
r13073518t.png,dalle2,16.5168,16.1977,16.7165,0.3191,-0.1997,16.5168,16.1977,16.7165,0.3191,0.1997
r13837601t.png,dalle2,16.1415,16.1387,16.5592,0.0028,-0.4177,16.1415,16.1387,16.5592,0.0028,0.4177
r13907965t.png,dalle2,17.5414,17.1676,17.0221,0.3737,0.5193,17.5414,17.1676,17.0221,0.3737,0.5193
r13928401t.png,dalle2,16.0212,13.2773,14.5002,2.7440,1.5210,16.0212,13.2773,14.5002,2.7440,1.5210
r14289905t.png,dalle2,14.7635,12.2219,12.4324,2.5416,2.3311,14.7635,12.2219,12.4324,2.5416,2.3311
r15885978t.png,dalle2,16.9780,14.9648,16.3255,2.0133,0.6525,16.9780,14.9648,16.3255,2.0133,0.6525
r15919202t.png,dalle2,15.0038,14.0765,13.9856,0.9273,1.0181,15.0038,14.0765,13.9856,0.9273,1.0181
r16422663t.png,dalle2,15.2326,13.8585,14.3317,1.3741,0.9009,15.2326,13.8585,14.3317,1.3741,0.9009
r16509308t.png,dalle2,16.0993,13.7235,14.2514,2.3757,1.8478,16.0993,13.7235,14.2514,2.3757,1.8478
r16654024t.png,dalle2,16.0820,14.7167,14.4275,1.3652,1.6545,16.0820,14.7167,14.4275,1.3652,1.6545
r17217693t.png,dalle2,15.5952,15.6314,14.3034,-0.0362,1.2918,15.5952,15.6314,14.3034,0.0362,1.2918
r18791531t.png,dalle2,13.5383,12.1810,13.9548,1.3573,-0.4165,13.5383,12.1810,13.9548,1.3573,0.4165
r18798194t.png,dalle2,15.0927,14.3359,15.8469,0.7567,-0.7542,15.0927,14.3359,15.8469,0.7567,0.7542
